calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
117320,52535670,2022-11-03 00:00:00.000000,1,85,85,1,1125
117321,15292817,2022-11-25 00:00:00.000000,1,45,45,2,1125
117322,48217347,2022-03-23 00:00:00.000000,1,80,80,14,1125
117323,49037228,2022-08-03 00:00:00.000000,1,70,70,2,1125
117324,40365085,2022-04-11 00:00:00.000000,1,295,295,1,365
117325,49645458,2022-01-31 00:00:00.000000,0,99,99,2,1125
117326,51504108,2022-07-19 00:00:00.000000,1,275,275,1,1125
117327,17115288,2022-09-04 00:00:00.000000,1,150,150,2,1125
117328,50026073,2022-04-23 00:00:00.000000,1,90,90,1,200
117329,18507108,2022-04-14 00:00:00.000000,1,50,50,5,365
117330,41550993,2022-03-15 00:00:00.000000,1,100,100,5,65
117331,38271062,2022-07-20 00:00:00.000000,1,750,713,2,1125
117332,49764921,2022-05-25 00:00:00.000000,1,49,49,1,21
117333,13427359,2022-06-17 00:00:00.000000,0,220,220,2,1125
117334,16546399,2022-03-18 00:00:00.000000,0,27,27,2,1124
117335,11004345,2022-06-09 00:00:00.000000,1,79,79,30,1125
117336,53423668,2022-04-09 00:00:00.000000,1,59,59,10,1125
117337,10429341,2022-10-07 00:00:00.000000,1,48,48,3,1125
117338,43995289,2022-12-17 00:00:00.000000,0,70,70,2,1125
117339,40078653,2022-02-18 00:00:00.000000,1,129,129,1,13
117340,961296,2022-07-28 00:00:00.000000,0,340,340,1,30
117341,33685110,2022-11-11 00:00:00.000000,0,85,85,2,1125
117342,19733115,2022-01-22 00:00:00.000000,1,40,40,2,7
117343,5646286,2021-12-26 00:00:00.000000,0,120,120,2,60
117344,11649861,2022-09-05 00:00:00.000000,0,100,100,1,1125
117345,44678829,2022-08-22 00:00:00.000000,1,275,275,1,1
117346,23558021,2022-08-30 00:00:00.000000,0,19,19,1,3
117347,36220043,2022-11-17 00:00:00.000000,1,65,65,2,1125
117348,51080079,2022-12-09 00:00:00.000000,1,129,129,1,1125
117349,41641939,2022-03-18 00:00:00.000000,0,100,100,3,1125
117350,31561396,2022-05-24 00:00:00.000000,0,41,41,2,1125
117351,9582616,2022-04-06 00:00:00.000000,0,69,69,2,365
117352,41128489,2022-09-13 00:00:00.000000,1,59,59,1,13
117353,8094749,2022-05-04 00:00:00.000000,0,171,171,1,1125
117354,33192413,2022-11-26 00:00:00.000000,0,34,34,1,1125
117355,5741728,2022-02-28 00:00:00.000000,0,70,70,1,1125
117356,45503709,2022-09-10 00:00:00.000000,1,130,130,2,150
117357,49465982,2022-08-27 00:00:00.000000,1,72,72,10,1125
117358,35227376,2022-10-17 00:00:00.000000,0,50,50,7,1125
117359,26112457,2022-07-09 00:00:00.000000,0,49,49,1,1100
117360,43968872,2022-12-10 00:00:00.000000,0,78,78,2,5
117361,37090780,2022-06-15 00:00:00.000000,0,70,70,1,1125
117362,45111334,2022-11-06 00:00:00.000000,1,235,235,1,1125
117363,13350400,2022-08-03 00:00:00.000000,1,75,75,2,1125
117364,37475845,2022-01-30 00:00:00.000000,1,50,50,1,30
117365,12746696,2022-11-18 00:00:00.000000,1,96,96,2,1125
117366,45214136,2022-11-28 00:00:00.000000,1,89,89,1,1125
117367,30527484,2022-08-24 00:00:00.000000,1,75,75,2,1125
117368,16835869,2022-05-15 00:00:00.000000,1,69,69,3,180
117369,46891676,2022-12-13 00:00:00.000000,1,59,59,1,21
117370,38470295,2022-11-20 00:00:00.000000,0,53,53,1,1125
117371,45595382,2022-03-13 00:00:00.000000,1,55,55,1,1125
117372,51080079,2022-08-02 00:00:00.000000,1,64,64,1,1125
117373,4032738,2022-08-13 00:00:00.000000,0,58,58,2,1125
117374,43567032,2022-09-25 00:00:00.000000,1,85,85,2,1125
117375,53250815,2022-09-29 00:00:00.000000,1,65,65,1,365
117376,16978843,2022-06-25 00:00:00.000000,1,70,70,1,1125
117377,29563117,2022-04-28 00:00:00.000000,0,65,65,2,1125
117378,31730627,2022-06-13 00:00:00.000000,1,55,55,7,1125
117379,13670107,2022-07-13 00:00:00.000000,0,43,43,5,1125
117380,27617809,2022-07-06 00:00:00.000000,0,67,67,2,31
117381,6051973,2022-07-11 00:00:00.000000,1,143,143,2,1125
117382,23521144,2022-11-05 00:00:00.000000,0,160,160,30,1125
117383,24548862,2022-04-29 00:00:00.000000,1,95,95,2,1125
117384,5994895,2022-02-22 00:00:00.000000,1,125,125,3,1125
117385,45170372,2022-09-14 00:00:00.000000,0,45,45,3,60
117386,38281578,2022-08-23 00:00:00.000000,0,160,160,1,1000
117387,41224332,2022-04-17 00:00:00.000000,1,38,36,1,1125
117388,44564619,2022-06-10 00:00:00.000000,0,235,228,1,999
117389,51957123,2022-03-20 00:00:00.000000,1,79,79,2,1125
117390,30259301,2022-04-17 00:00:00.000000,1,75,75,2,1125
117391,22023486,2022-06-11 00:00:00.000000,1,119,119,3,99
117392,15291805,2022-12-04 00:00:00.000000,0,59,59,1,1125
117393,53571182,2022-09-03 00:00:00.000000,1,54,54,2,365
117394,19311378,2022-04-12 00:00:00.000000,1,81,81,3,99
117395,50905255,2022-04-26 00:00:00.000000,0,55,55,2,1125
117396,23217525,2022-05-19 00:00:00.000000,1,49,49,1,21
117397,25071158,2022-04-11 00:00:00.000000,0,40,40,8,400
117398,27851653,2022-09-28 00:00:00.000000,1,140,140,2,1125
